Key,name,value
Case Documents:,U.S. v. Oregon Dental Service,Complaint
Case Open Date:,U.S. v. John Jay Ortiz,"Wednesday, May 1, 2002"
Case Name:,U.S. v. John Jay Ortiz,United States v. John Jay Ortiz
Case Type:,U.S. v. John Jay Ortiz,Criminal
Case Violation:,U.S. v. John Jay Ortiz,Bid Rigging
Market:,U.S. v. John Jay Ortiz,USED MERCHANDISE STORES
Industry Code:,U.S. v. John Jay Ortiz,Used Merchandise Stores
Component:,U.S. v. John Jay Ortiz,Antitrust Division
Case Documents:,U.S. v. John Jay Ortiz,Information
Case Open Date:,"Oscar Insurance Company of Florida v. Blue Cross and Blue Shield of Florida, Inc, d/b/a Florida Blue, Health Options Inc., d/b/a Florida Blue HMO, and Florida Health Care Plan Inc., d/b/a Florida Health Care Plans","Wednesday, April 24, 2019"
Case Name:,"Oscar Insurance Company of Florida v. Blue Cross and Blue Shield of Florida, Inc, d/b/a Florida Blue, Health Options Inc., d/b/a Florida Blue HMO, and Florida Health Care Plan Inc., d/b/a Florida Health Care Plans","Blue Cross and Blue Shield of Florida, Inc, d/b/a Florida Blue, Health Options Inc., d/b/a Florida Blue HMO, and Florida Health Care Plan Inc., d/b/a Florida Health Care Plans"
Case Type:,"Oscar Insurance Company of Florida v. Blue Cross and Blue Shield of Florida, Inc, d/b/a Florida Blue, Health Options Inc., d/b/a Florida Blue HMO, and Florida Health Care Plan Inc., d/b/a Florida Health Care Plans",Other
Industry Code:,"Oscar Insurance Company of Florida v. Blue Cross and Blue Shield of Florida, Inc, d/b/a Florida Blue, Health Options Inc., d/b/a Florida Blue HMO, and Florida Health Care Plan Inc., d/b/a Florida Health Care Plans",None
Component:,"Oscar Insurance Company of Florida v. Blue Cross and Blue Shield of Florida, Inc, d/b/a Florida Blue, Health Options Inc., d/b/a Florida Blue HMO, and Florida Health Care Plan Inc., d/b/a Florida Health Care Plans",Antitrust Division
Case Documents:,"Oscar Insurance Company of Florida v. Blue Cross and Blue Shield of Florida, Inc, d/b/a Florida Blue, Health Options Inc., d/b/a Florida Blue HMO, and Florida Health Care Plan Inc., d/b/a Florida Health Care Plans",Statement of Interest of the United States of America
Case Open Date:,U.S. v. Toru Otoda,"Thursday, January 22, 2015"
Case Name:,U.S. v. Toru Otoda,United States v. Toru Otoda
Case Type:,U.S. v. Toru Otoda,Criminal
Case Violation:,U.S. v. Toru Otoda,Bid Rigging
Case Violation:,U.S. v. Toru Otoda,"Customer, Territorial or Market Allocation - Horizontal"
Case Violation:,U.S. v. Toru Otoda,Other Restraint of Trade
Case Violation:,U.S. v. Toru Otoda,Price Fixing - Horizontal
Market:,U.S. v. Toru Otoda,"International ocean shipping services for roll-on, roll-off cargo to and from the United States and elsewhere."
Industry Code:,U.S. v. Toru Otoda,Deep Sea Freight Transportation
Component:,U.S. v. Toru Otoda,Antitrust Division
Case Documents:,U.S. v. Toru Otoda,Plea Agreement
Case Documents:,U.S. v. Toru Otoda,Information
Case Open Date:,"U.S. v. Outdoor Systems, Inc.","Thursday, September 8, 1994"
Case Name:,"U.S. v. Outdoor Systems, Inc.","United States v. Outdoor Systems, Inc."
Case Type:,"U.S. v. Outdoor Systems, Inc.",Civil Merger
Case Violation:,"U.S. v. Outdoor Systems, Inc.",Horizontal Merger
Market:,"U.S. v. Outdoor Systems, Inc.",OUTDOOR ADVERTISING
Industry Code:,"U.S. v. Outdoor Systems, Inc.",Display Advertising
Industry Code:,"U.S. v. Outdoor Systems, Inc.",Outdoor Advertising Services
Component:,"U.S. v. Outdoor Systems, Inc.",Antitrust Division
Case Documents:,"U.S. v. Outdoor Systems, Inc.",Final Judgment
Case Documents:,"U.S. v. Outdoor Systems, Inc.",Competitive Impact Statement
Case Documents:,"U.S. v. Outdoor Systems, Inc.",Complaint
Case Open Date:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,"Thursday, January 27, 1972"
Case Name:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,United States v. The Overhead Door Distributors Association of Greater Delaware Valley
Case Type:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Civil Non-Merger
Case Violation:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Boycotts or Refusals to Deal - Vertical
Case Violation:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Price Fixing - Horizontal
Case Violation:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Refusals to Deal
Market:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Retail Sale of Overhead Garage Doors
Industry Code:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,"Lumber, Plywood and Millwork"
Component:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Antitrust Division
Case Documents:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Final Judgment
Case Documents:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Stipulation
Case Documents:,U.S. v. The Overhead  Door Distributors Association of Greater Delaware Valley,Complaint
Case Open Date:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ","Wednesday, November 18, 1970"
Case Name:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ","United States v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis"
Case Type:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Civil Non-Merger
Case Violation:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Horizontal Merger
Case Violation:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Monopolization
Case Violation:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Attempt to Monopolize
Case Violation:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ","Customer, Territorial or Market Allocation - Horizontal"
Case Violation:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Conspiracy to Monopolize
Market:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",banking
Industry Code:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Banking
Industry Code:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Commercial Banking
Industry Code:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ","State Banks, Federal Reserve"
Case Documents:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Final Judgment
Case Documents:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Stipulation
Case Documents:,"U.S. v. The Owensboro National Bank, M. Jackson Mitchell, Raymond A. Alexander, and Edward E. Curtis ",Complaint
Case Open Date:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.","Friday, July 22, 1977"
Case Name:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.","United States v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co."
Case Type:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.",Civil Non-Merger
Case Violation:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.",Price Fixing - Horizontal
Case Violation:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.",Price Fixing - Vertical
Topic:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.",Antitrust
Market:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.","Concrete, Ready-Mix"
Industry Code:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.",Ready-Mix Concrete Manufacturing
Component:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.",Antitrust Division
Case Documents:,"U.S. v. Owensboro River Sand & Gravel Co., Inc. and Transit Mix Concrete Co.",Competitive Impact Statement
Case Open Date:,U.S. v. Owens-Illinois Inc.,"Friday, January 28, 1972"
Case Name:,U.S. v. Owens-Illinois Inc.,United States v. Owens-Illinois Inc.
Case Type:,U.S. v. Owens-Illinois Inc.,Civil Non-Merger
Case Violation:,U.S. v. Owens-Illinois Inc.,Monopolization
Case Violation:,U.S. v. Owens-Illinois Inc.,Attempt to Monopolize
Case Violation:,U.S. v. Owens-Illinois Inc.,Reciprocity
Market:,U.S. v. Owens-Illinois Inc.,Glass - Pittsbur5gh Plate Glass Co. -Nationwide
Industry Code:,U.S. v. Owens-Illinois Inc.,Flat Glass Manufacturing
Component:,U.S. v. Owens-Illinois Inc.,Antitrust Division
Case Documents:,U.S. v. Owens-Illinois Inc.,Final Judgment
Case Documents:,U.S. v. Owens-Illinois Inc.,Stipulation
Case Documents:,U.S. v. Owens-Illinois Inc.,Complaint
Case Open Date:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,"Thursday, October 1, 1959"
Case Name:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,"United States v. Pabst Brewing Company; Schenley Industries, Inc. and The Val Corporation"
Case Type:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,Civil Merger
Case Violation:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,Miscellaneous
Case Violation:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,Vertical Merger
Market:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,Beer
Industry Code:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,Breweries
Component:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,Antitrust Division
Case Documents:,U.S. v. Pabst Brewing Company; Schenley Industries Inc. and The Val Corp.,Final Judgment
Case Open Date:,"Pacific Bell Telephone Co., d/b/a AT&T California, et al. v. LinkLine Communications, Inc., et al.","Thursday, October 13, 2005"
Case Name:,"Pacific Bell Telephone Co., d/b/a AT&T California, et al. v. LinkLine Communications, Inc., et al.","Pacific Bell Telephone Company, dba AT&T California, et al. v. linkLine Communications, Inc., et al."
Case Type:,"Pacific Bell Telephone Co., d/b/a AT&T California, et al. v. LinkLine Communications, Inc., et al.",Other
Industry Code:,"Pacific Bell Telephone Co., d/b/a AT&T California, et al. v. LinkLine Communications, Inc., et al.",None
Component:,"Pacific Bell Telephone Co., d/b/a AT&T California, et al. v. LinkLine Communications, Inc., et al.",Antitrust Division
Case Documents:,"Pacific Bell Telephone Co., d/b/a AT&T California, et al. v. LinkLine Communications, Inc., et al.",Brief for the United States as Amicus Curiae Supporting Petitioners
Case Documents:,"Pacific Bell Telephone Co., d/b/a AT&T California, et al. v. LinkLine Communications, Inc., et al.",Brief Amicus Curiae of the United States
Case Open Date:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,"Thursday, July 19, 1990"
Case Name:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,Unites States v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheatre and Ogden Allied Services Corp.
Case Type:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,Civil Merger
Case Violation:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,Horizontal Merger
Market:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,"Concert Amphitheatres, Orange County CA."
Industry Code:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,None
Industry Code:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,Nonresidential Building Operators
Component:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,Antitrust Division
Case Documents:,U.S. v. Pacific Amphitheatre Partnership; Irvine Meadows Amphitheater and Ogden Allied Services Corp.,Complaint
Case Open Date:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.","Friday, June 16, 1989"
Case Name:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.","United States v. Pacific Dunlop Holdings Inc., Becton Dickinson and Company and Edmont Inc."
Case Type:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.",Civil Merger
Case Violation:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.",Horizontal Merger
Industry Code:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.",Fabric Dress and Work Gloves
Industry Code:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.","Fabricated Rubber Products, NEC"
Industry Code:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.",Men's and Boys' Cut and Sew Apparel Contractors
Case Documents:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.",Final Judgment
Case Documents:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.",Competitive Impact Statement
Case Documents:,"U.S. v. Pacific Dunlop Holdings Inc., Becton Dickinson & Company and Edmont Inc.",Complaint
Case Open Date:,U.S. v. Pacific Electrical Contractors Association,"Tuesday, June 16, 1987"
Case Name:,U.S. v. Pacific Electrical Contractors Association,United States v. Pacific Electrical Contractors Association
Case Type:,U.S. v. Pacific Electrical Contractors Association,Civil Non-Merger
Case Violation:,U.S. v. Pacific Electrical Contractors Association,Agreements Not to Compete
Case Violation:,U.S. v. Pacific Electrical Contractors Association,Exclusive Dealings and Requirements Contracts
Topic:,U.S. v. Pacific Electrical Contractors Association,Antitrust
Market:,U.S. v. Pacific Electrical Contractors Association,Electrical Construction
Industry Code:,U.S. v. Pacific Electrical Contractors Association,Business Associations
Industry Code:,U.S. v. Pacific Electrical Contractors Association,Electrical Contractors
Component:,U.S. v. Pacific Electrical Contractors Association,Antitrust Division
Case Documents:,U.S. v. Pacific Electrical Contractors Association,Final Judgment
Case Documents:,U.S. v. Pacific Electrical Contractors Association,Competitive Impact Statement
Case Documents:,U.S. v. Pacific Electrical Contractors Association,Complaint
Overview:,"U.S. v. Pacific Telesis Group and Communications Industries, Inc;","Competitive Impact Statement (February 28, 1986)

Complaint (February 28, 1986)"
Case Open Date:,"U.S. v. Pacific Telesis Group and Communications Industries, Inc;","Friday, February 28, 1986"
Case Name:,"U.S. v. Pacific Telesis Group and Communications Industries, Inc;","U.S. v. Pacific Telesis Group and Communications Industries, Inc;"
Case Type:,"U.S. v. Pacific Telesis Group and Communications Industries, Inc;",Civil Merger
Industry Code:,"U.S. v. Pacific Telesis Group and Communications Industries, Inc;",Telephone Communications
Case Documents:,"U.S. v. Pacific Telesis Group and Communications Industries, Inc;",Complaint
Case Documents:,"U.S. v. Pacific Telesis Group and Communications Industries, Inc;",Competitive Impact Statement
Case Open Date:,U.S. v. Pacific Scientific Co.,"Tuesday, January 30, 1996"
Case Name:,U.S. v. Pacific Scientific Co.,United States v. Pacific Scientific Company
Case Type:,U.S. v. Pacific Scientific Co.,Civil Merger
Case Violation:,U.S. v. Pacific Scientific Co.,Horizontal Merger
Case Violation:,U.S. v. Pacific Scientific Co.,"Restraint on Trade - Territorial, D.C."
Market:,U.S. v. Pacific Scientific Co.,DIRNKING WATER PARTICLE COUNTERS|DRINKING WATER PARTICLE COUNTERS
Industry Code:,U.S. v. Pacific Scientific Co.,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
Industry Code:,U.S. v. Pacific Scientific Co.,"Measuring and Controlling Devices, NEC"
Component:,U.S. v. Pacific Scientific Co.,Antitrust Division
Case Documents:,U.S. v. Pacific Scientific Co.,Final Judgment
Case Documents:,U.S. v. Pacific Scientific Co.,Competitive Impact Statement
Case Documents:,U.S. v. Pacific Scientific Co.,Complaint
Case Documents:,U.S. v. Pacific Scientific Co.,Stipulation
Case Open Date:,U.S. v. Keith H. Packer,"Tuesday, September 30, 2008"
Case Name:,U.S. v. Keith H. Packer,United States v. Keith H. Packer
Case Type:,U.S. v. Keith H. Packer,Criminal
Case Violation:,U.S. v. Keith H. Packer,Price Fixing - Horizontal
Market:,U.S. v. Keith H. Packer,International air cargo shipments
Industry Code:,U.S. v. Keith H. Packer,Scheduled Freight Air Transportation
Component:,U.S. v. Keith H. Packer,Antitrust Division
Case Documents:,U.S. v. Keith H. Packer,Plea Agreement
Case Documents:,U.S. v. Keith H. Packer,Information
Case Open Date:,U.S. v. Painting & Decorating Contractors of Hawaii,"Tuesday, June 16, 1987"
Case Name:,U.S. v. Painting & Decorating Contractors of Hawaii,United States v. Painting and Decorating Contractors of Hawaii
Case Type:,U.S. v. Painting & Decorating Contractors of Hawaii,Civil Non-Merger
Case Violation:,U.S. v. Painting & Decorating Contractors of Hawaii,Agreements Not to Compete
Case Violation:,U.S. v. Painting & Decorating Contractors of Hawaii,Exclusive Dealings and Requirements Contracts
Topic:,U.S. v. Painting & Decorating Contractors of Hawaii,Antitrust
Market:,U.S. v. Painting & Decorating Contractors of Hawaii,Painting and Decorating
Industry Code:,U.S. v. Painting & Decorating Contractors of Hawaii,Business Associations
Component:,U.S. v. Painting & Decorating Contractors of Hawaii,Antitrust Division
Case Documents:,U.S. v. Painting & Decorating Contractors of Hawaii,Final Judgment
Case Documents:,U.S. v. Painting & Decorating Contractors of Hawaii,Competitive Impact Statment
Case Documents:,U.S. v. Painting & Decorating Contractors of Hawaii,Complaint
Case Open Date:,U.S. v. Garfield Pallister,"Tuesday, November 7, 2000"
Case Name:,U.S. v. Garfield Pallister,United States v. Garfield Pallister
Case Type:,U.S. v. Garfield Pallister,Criminal
Case Violation:,U.S. v. Garfield Pallister,Bid Rigging
Market:,U.S. v. Garfield Pallister,POSTAL AUCTIONS
Industry Code:,U.S. v. Garfield Pallister,Used Merchandise Stores
Component:,U.S. v. Garfield Pallister,Antitrust Division
Case Documents:,U.S. v. Garfield Pallister,Information
Case Open Date:,"U.S. v. Joseph Panaccione, a/k/a Joe Payne","Tuesday, October 1, 2002"
Case Name:,"U.S. v. Joseph Panaccione, a/k/a Joe Payne","United States v. Joseph Panaccione, aka Joe Payne"
Case Type:,"U.S. v. Joseph Panaccione, a/k/a Joe Payne",Criminal
Case Violation:,"U.S. v. Joseph Panaccione, a/k/a Joe Payne",Conspiracy to Commit Mail Fraud
Market:,"U.S. v. Joseph Panaccione, a/k/a Joe Payne",GRAPHICS SERVICES
Industry Code:,"U.S. v. Joseph Panaccione, a/k/a Joe Payne",Sign Manufacturing
Component:,"U.S. v. Joseph Panaccione, a/k/a Joe Payne",Antitrust Division
Case Documents:,"U.S. v. Joseph Panaccione, a/k/a Joe Payne",Information
Case Open Date:,U.S. v. Panalpina World Transport (Holding) Ltd.,"Thursday, September 30, 2010"
Case Name:,U.S. v. Panalpina World Transport (Holding) Ltd.,United States v. Panalpina Worldwide Transport (Holding) LTD.
Case Type:,U.S. v. Panalpina World Transport (Holding) Ltd.,Criminal
Case Violation:,U.S. v. Panalpina World Transport (Holding) Ltd.,Price Fixing - Horizontal
Market:,U.S. v. Panalpina World Transport (Holding) Ltd.,International air cargo shipments-freight forwarding services
Industry Code:,U.S. v. Panalpina World Transport (Holding) Ltd.,Scheduled Freight Air Transportation
Component:,U.S. v. Panalpina World Transport (Holding) Ltd.,Antitrust Division
Case Documents:,U.S. v. Panalpina World Transport (Holding) Ltd.,Plea Agreement
Case Documents:,U.S. v. Panalpina World Transport (Holding) Ltd.,Information
Case Open Date:,U.S. v. Panasonic Corp. [Refrigerant Compressors],"Thursday, September 30, 2010"
Case Name:,U.S. v. Panasonic Corp. [Refrigerant Compressors],United States v. Panasonic Corporation
Case Type:,U.S. v. Panasonic Corp. [Refrigerant Compressors],Criminal
Case Violation:,U.S. v. Panasonic Corp. [Refrigerant Compressors],Price Fixing - Horizontal
Market:,U.S. v. Panasonic Corp. [Refrigerant Compressors],Refrigerant compressors
Industry Code:,U.S. v. Panasonic Corp. [Refrigerant Compressors],Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
Component:,U.S. v. Panasonic Corp. [Refrigerant Compressors],Antitrust Division
Case Documents:,U.S. v. Panasonic Corp. [Refrigerant Compressors],Panasonic Plea Agreement
Case Documents:,U.S. v. Panasonic Corp. [Refrigerant Compressors],Information
Case Open Date:,U.S. v. Panasonic Corp. [Auto Parts],"Thursday, July 18, 2013"
Case Name:,U.S. v. Panasonic Corp. [Auto Parts],United States v. Panasonic Corporation
Case Type:,U.S. v. Panasonic Corp. [Auto Parts],Criminal
Case Violation:,U.S. v. Panasonic Corp. [Auto Parts],Bid Rigging
Case Violation:,U.S. v. Panasonic Corp. [Auto Parts],Other Restraint of Trade
Case Violation:,U.S. v. Panasonic Corp. [Auto Parts],Price Fixing - Horizontal
Market:,U.S. v. Panasonic Corp. [Auto Parts],Automotive parts and battery cells
Industry Code:,U.S. v. Panasonic Corp. [Auto Parts],Other Motor Vehicle Electrical and Electronic Equipment Manufacturing
Component:,U.S. v. Panasonic Corp. [Auto Parts],Antitrust Division
Case Documents:,U.S. v. Panasonic Corp. [Auto Parts],Plea Agreement
Case Documents:,U.S. v. Panasonic Corp. [Auto Parts],Informations
Case Open Date:,"U.S v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association","Wednesday, June 30, 1982"
Case Name:,"U.S v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association","United States v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association."
Case Type:,"U.S v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association",Civil Non-Merger
Case Violation:,"U.S v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association",Price Fixing - Horizontal
Industry Code:,"U.S v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association",None
Case Documents:,"U.S v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association",Final Judgment
Case Documents:,"U.S v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association",Competitive Impact Statement
Case Documents:,"U.S v. Pan-Alaska Fisheries Inc., SPA-Alaska Products Inc., Universal Seafoods Ltd., Whitney-Fidalgo Seafoods Inc. and Alaska Marketing Association",Complaint
Case Open Date:,"Pandora Media, Inc. v. American Society of Composers, Authors and Publishers","Tuesday, June 24, 2014"
Case Name:,"Pandora Media, Inc. v. American Society of Composers, Authors and Publishers","Pandora Media, Inc. v. American Society of Composers, Authors and Publishers"
Case Type:,"Pandora Media, Inc. v. American Society of Composers, Authors and Publishers",Civil Non-Merger
Case Violation:,"Pandora Media, Inc. v. American Society of Composers, Authors and Publishers",Joint Venture
Market:,"Pandora Media, Inc. v. American Society of Composers, Authors and Publishers",Music Licensing
Industry Code:,"Pandora Media, Inc. v. American Society of Composers, Authors and Publishers",Music Publishers
Component:,"Pandora Media, Inc. v. American Society of Composers, Authors and Publishers",Antitrust Division
Case Documents:,"Pandora Media, Inc. v. American Society of Composers, Authors and Publishers",Letter Brief
Case Open Date:,"In Re William Paplauskas, Jr.","Monday, September 17, 2018"
Case Name:,"In Re William Paplauskas, Jr.","In Re William Paplauskas, Jr."
Industry Code:,"In Re William Paplauskas, Jr.",None
Component:,"In Re William Paplauskas, Jr.",Antitrust Division
Case Documents:,"In Re William Paplauskas, Jr.",Brief for the United States and the Federal Trade Commission as Amici Curiae Supporting Respondent
Case Open Date:,U.S. v. Young Hwan Park,"Thursday, December 21, 2006"
Case Name:,U.S. v. Young Hwan Park,United States v. Young Hwan Park
Case Type:,U.S. v. Young Hwan Park,Criminal
Case Violation:,U.S. v. Young Hwan Park,Price Fixing - Horizontal
Market:,U.S. v. Young Hwan Park,Dynamic random access memory (DRAM)
Industry Code:,U.S. v. Young Hwan Park,Semiconductor and Related Device Manufacturing
Component:,U.S. v. Young Hwan Park,Antitrust Division
Case Documents:,U.S. v. Young Hwan Park,Plea Agreement
Case Documents:,U.S. v. Young Hwan Park,Information
Case Open Date:,U.S. v. Young Keun Park,"Tuesday, December 13, 2011"
Case Name:,U.S. v. Young Keun Park,United States v. Young Keun Park
Case Type:,U.S. v. Young Keun Park,Criminal
Case Violation:,U.S. v. Young Keun Park,Bid Rigging
Case Violation:,U.S. v. Young Keun Park,Price Fixing - Horizontal
Market:,U.S. v. Young Keun Park,optical disk drives
Industry Code:,U.S. v. Young Keun Park,Computer Storage Device Manufacturing
Component:,U.S. v. Young Keun Park,Antitrust Division
Case Documents:,U.S. v. Young Keun Park,Plea Agreement
Case Documents:,U.S. v. Young Keun Park,Information
Case Open Date:,U.S. v. Donald M. Parker,"Wednesday, December 7, 2011"
Case Name:,U.S. v. Donald M. Parker,"United States v. Donald M. Parker, Wiley C. Chandler, Andrew B. Katakis,  Anthony B. Joachim, and W. Theodore Longley"
Case Type:,U.S. v. Donald M. Parker,Criminal
Case Violation:,U.S. v. Donald M. Parker,Bid Rigging
Case Violation:,U.S. v. Donald M. Parker,Conspiracy to Commit Mail Fraud
Market:,U.S. v. Donald M. Parker,Public real estate foreclosure auctions
Industry Code:,U.S. v. Donald M. Parker,Offices of Real Estate Agents and Brokers
Component:,U.S. v. Donald M. Parker,Antitrust Division
Case Documents:,U.S. v. Donald M. Parker,Answering Brief for the United States of America
Case Documents:,U.S. v. Donald M. Parker,Opposition of the United States of America to Appellant's Motion for Release Pending Appeal
Case Documents:,U.S. v. Donald M. Parker,Change of Plea
Case Documents:,U.S. v. Donald M. Parker,Application For Order Unsealing Indictment CR NO. S-11-511 JAM
Case Documents:,U.S. v. Donald M. Parker,Indictment
Case Open Date:,U.S. v. Parker-Hannifin Corp.,"Monday, May 15, 1972"
Case Name:,U.S. v. Parker-Hannifin Corp.,United States v. Parker-Hannifin Corporation
Case Type:,U.S. v. Parker-Hannifin Corp.,Civil Merger
Case Violation:,U.S. v. Parker-Hannifin Corp.,Horizontal Merger
Case Violation:,U.S. v. Parker-Hannifin Corp.,Miscellaneous
Case Violation:,U.S. v. Parker-Hannifin Corp.,Vertical Merger
Market:,U.S. v. Parker-Hannifin Corp.,"Clamps, Worm Driven, Tire Hardware"
Industry Code:,U.S. v. Parker-Hannifin Corp.,"Hardware, NEC"
Industry Code:,U.S. v. Parker-Hannifin Corp.,Motor Vehicle Supplies and New Parts Merchant Wholesalers
Component:,U.S. v. Parker-Hannifin Corp.,Antitrust Division
